period_id,month,year,period_label,quarter,total_sc_cost_usd,standard_ship_usd,expedited_ship_usd,freight_cost_usd,insurance_cost_usd,stockout_loss_usd,excess_inv_cost_usd,delay_penalty_usd,quality_reject_usd,total_avoidable_usd,ai_investment_usd,ai_savings_usd,cumulative_savings,roi_pct,on_time_rate_pct,perfect_order_pct,inventory_turnover,geopolitical_cost,notes
FIN-2022-01,1,2022,Jan-2022,Q1-2022,465000,340000,12000,37000,12000,24000,18000,13000,9000,76000,0,0,0,0,80,72,6.1,0,Baseline_2022
FIN-2022-02,2,2022,Feb-2022,Q1-2022,482000,314000,14000,43000,14500,26000,17000,15000,10500,82500,0,0,0,0,78,70,6.0,28000,Russia_Ukraine_War_Begins
FIN-2022-03,3,2022,Mar-2022,Q1-2022,496000,306500,18500,44500,15000,30000,19000,15500,11000,94000,0,0,0,0,77,69,6.0,36000,Shanghai_COVID_Lockdown
FIN-2022-04,4,2022,Apr-2022,Q2-2022,501000,300900,21000,45500,15400,32000,20000,16000,11200,100200,0,0,0,0,76,68,6.1,39000,Shanghai_COVID_Lockdown
FIN-2022-05,5,2022,May-2022,Q2-2022,508000,299200,22000,46200,15800,33500,20500,17000,11800,104800,0,0,0,0,77,69,6.2,42000,Shanghai_COVID_Lockdown
FIN-2022-06,6,2022,Jun-2022,Q2-2022,499000,303400,19500,45000,15200,31500,19800,16200,11400,98400,0,0,0,0,78,70,6.2,37000,Shanghai_COVID_Lockdown
FIN-2022-07,7,2022,Jul-2022,Q3-2022,468000,327800,12000,39500,13600,23500,17600,13200,9800,76100,0,0,0,0,80,72,6.3,11000,Partial_Recovery
FIN-2022-08,8,2022,Aug-2022,Q3-2022,462000,328500,10500,38800,13400,22500,17000,12800,9500,72300,0,0,0,0,80,71,6.2,9000,Partial_Recovery
FIN-2022-09,9,2022,Sep-2022,Q3-2022,458000,328500,9800,38200,13200,22000,16600,12400,9300,70100,0,0,0,0,79,71,6.2,8000,Partial_Recovery
FIN-2022-10,10,2022,Oct-2022,Q4-2022,463000,328000,11000,39000,13500,22600,17100,12900,9400,73000,0,0,0,0,79,72,6.3,9500,Partial_Recovery
FIN-2022-11,11,2022,Nov-2022,Q4-2022,466000,327800,11800,39600,13700,23200,17300,13100,9500,74900,0,0,0,0,79,71,6.3,10000,Partial_Recovery
FIN-2022-12,12,2022,Dec-2022,Q4-2022,495000,338500,16500,42000,14500,27000,19200,14800,10500,88000,0,0,0,0,85,77,6.5,12000,Holiday_Season_Stress
FIN-2023-01,1,2023,Jan-2023,Q1-2023,486000,326900,14000,47000,15800,20500,17600,12000,10200,74300,0,0,0,0,80.0,73.0,6.5,22000,Red_Sea_Crisis_Begins
FIN-2023-02,2,2023,Feb-2023,Q1-2023,478000,328700,13500,45800,15400,19500,16800,10500,9800,70100,0,0,0,0,81.0,74.0,6.6,18000,Elevated_Freight_Normal_Operations
FIN-2023-03,3,2023,Mar-2023,Q1-2023,498000,316400,24000,46800,16000,24500,18200,18000,10100,94800,0,0,0,0,78.0,71.0,6.4,24000,West_Customs_Disruption
FIN-2023-04,4,2023,Apr-2023,Q2-2023,484000,332500,15500,45500,15300,21500,17000,11000,9700,74700,0,0,0,0,81.0,74.0,6.7,16000,Elevated_But_Stable
FIN-2023-05,5,2023,May-2023,Q2-2023,486000,334400,16000,45800,15400,22000,17100,10500,9800,75400,0,0,0,0,82.0,75.0,6.8,15000,Elevated_But_Stable
FIN-2023-06,6,2023,Jun-2023,Q2-2023,485000,336200,15000,45600,15300,21800,16900,10000,9700,73400,0,0,0,0,82.0,75.0,6.9,14500,Elevated_But_Stable
FIN-2023-07,7,2023,Jul-2023,Q3-2023,512000,326200,22000,47200,16000,32000,20500,16500,10600,101600,0,0,0,0,79.0,72.0,6.4,21000,Port_LA_Congestion_Peak
FIN-2023-08,8,2023,Aug-2023,Q3-2023,475000,343000,9500,44000,14900,18000,15800,8500,9300,61100,0,0,0,0,83.0,76.0,6.9,12000,Recovery
FIN-2023-09,9,2023,Sep-2023,Q3-2023,475000,347400,8500,43800,14800,17600,15700,7000,9200,58000,0,0,0,0,83.0,76.0,7.0,11000,Recovery
FIN-2023-10,10,2023,Oct-2023,Q4-2023,490000,339200,11500,44600,15100,21000,28000,9000,9600,79100,0,0,0,0,82.0,75.0,7.0,12000,PPE_Demand_Surge
FIN-2023-11,11,2023,Nov-2023,Q4-2023,472000,351500,6500,43200,14600,16200,15000,6000,9000,52700,0,0,0,0,82.0,75.0,7.0,10000,Stabilizing
FIN-2023-12,12,2023,Dec-2023,Q4-2023,498000,356400,5600,45000,15200,23000,18000,11000,9800,67400,0,0,0,0,83.6,79.4,7.4,14000,Year_End_Pressure
FIN-2024-01,1,2024,Jan-2024,Q1-2024,528000,335000,6200,48000,22000,24000,18500,12500,9800,71000,0,0,0,0,79.0,74.0,6.4,52000,Red_Sea_Houthi_Crisis_Escalates
FIN-2024-02,2,2024,Feb-2024,Q1-2024,522000,333400,9800,47000,20500,26000,17600,24000,9700,87100,0,0,0,0,76.0,72.0,6.2,34000,South_Transport_Strike
FIN-2024-03,3,2024,Mar-2024,Q1-2024,505000,363000,4200,45500,18800,21000,17000,8000,9500,59700,0,0,0,0,80.0,75.0,6.5,18000,Recovery_Starts
FIN-2024-04,4,2024,Apr-2024,Q2-2024,514000,345100,3500,51000,19600,21500,17200,8500,9600,60300,0,0,0,0,80.0,75.0,6.5,38000,Iran_Israel_Conflict
FIN-2024-05,5,2024,May-2024,Q2-2024,509000,361300,3800,46800,19000,20800,16800,7000,9500,57900,0,0,0,0,82.0,76.0,6.7,24000,Elevated_Pre_AI
FIN-2024-06,6,2024,Jun-2024,Q2-2024,507000,362000,3200,46500,18800,20500,16600,7000,9400,56700,0,0,0,0,83.0,77.0,6.7,23000,Elevated_Pre_AI
FIN-2024-07,7,2024,Jul-2024,Q3-2024,498000,368900,2800,44800,18200,16500,15500,6500,8800,50100,45000,18000,18000,40,84.0,79.0,7.2,16000,AI_Control_Tower_GoLive
FIN-2024-08,8,2024,Aug-2024,Q3-2024,518000,390100,2600,45200,18100,17500,15800,5000,8700,49600,12000,38000,56000,89,85.0,80.0,7.3,15000,AI_Transition_Expedited_Still_High
FIN-2024-09,9,2024,Sep-2024,Q3-2024,468000,362400,1400,42000,17000,12000,13000,3000,8200,37600,12000,62000,118000,142,88.0,83.0,7.7,9000,AI_Improvement_Visible
FIN-2024-10,10,2024,Oct-2024,Q4-2024,475000,357900,1100,43000,17200,13500,13200,2800,8300,38900,10000,78000,196000,198,89.0,84.0,7.8,18000,Hurricane_Season_AI_Mitigates
FIN-2024-11,11,2024,Nov-2024,Q4-2024,412000,324200,700,36800,15400,9000,10800,1500,7600,29600,8000,95000,291000,268,91.0,86.0,8.2,6000,Strong_AI_Performance
FIN-2024-12,12,2024,Dec-2024,Q4-2024,385000,308003,497,34000,14200,7000,9200,1000,7100,24797,7000,110000,401000,340,93.0,88.0,8.6,4000,Year_End_2024_AI_ROI_Proven
