shipment_id,shipment_date,expected_delivery_date,actual_delivery_date,supplier_id,product_id,location_id,region,product_category,quantity_units,shipment_value_usd,status,delay_days,delay_reason,delay_reason_category,inventory_level_at_dispatch,weather_condition,port_condition,customs_status,sla_breach,expedited_flag,expedited_cost_usd,risk_flag,ai_intervention_applied,root_cause_category,recommended_action,recovery_status
SHP0001,2023-01-08,2023-01-16,2023-01-17,SUP002,PRD011,LOC002,North,Implants,289,376177.27,OnTime,1,,,Low,Clear,Clear,Cleared,No,No,0.0,Low,No,,,Resolved
SHP0002,2023-01-11,2023-01-25,2023-02-02,SUP003,PRD015,LOC004,South,PPE,520,16058.82,Delayed,8,Shipping paperwork mismatch required correction,Documentation_Error,Medium,Snow,Congested,Cleared,Yes,No,0.0,High,No,Documentation / master data error,Correct shipment documents and reinforce shipper checklist,Resolved
SHP0003,2023-01-10,2023-01-21,2023-01-20,SUP001,PRD001,LOC001,North,Surgical Instruments,556,225702.42,OnTime,0,,,Medium,Rain,Clear,Cleared,No,No,0.0,Medium,No,,,Resolved
SHP0004,2023-01-22,2023-02-02,2023-02-02,SUP001,PRD005,LOC003,South,Diagnostic Equipment,194,172014.11,OnTime,0,,,High,Storm,Clear,Cleared,No,No,0.0,Medium,No,,,Resolved
SHP0005,2023-01-12,2023-01-23,2023-02-02,SUP001,PRD010,LOC004,South,Implants,363,257125.01,Delayed,10,Shipping paperwork mismatch required correction,Documentation_Error,High,Clear,Clear,Cleared,Yes,No,0.0,Medium,No,Documentation / master data error,Correct shipment documents and reinforce shipper checklist,Resolved
SHP0006,2023-02-14,2023-02-28,2023-03-04,SUP003,PRD003,LOC006,West,Surgical Instruments,86,37389.3,Delayed,4,Weather disruption impacted transit route,Weather,High,Storm,Clear,Cleared,Yes,No,0.0,High,No,Weather / route disruption,Shift to alternate carrier and revise ETA proactively,Resolved
SHP0007,2023-02-12,2023-02-20,2023-02-20,SUP002,PRD002,LOC005,West,Surgical Instruments,709,141104.66,OnTime,0,,,High,Fog,Clear,Cleared,No,No,0.0,Low,No,,,Resolved
SHP0008,2023-02-23,2023-03-03,2023-03-02,SUP002,PRD008,LOC001,North,Consumables,844,17255.74,OnTime,0,,,Medium,Clear,Clear,Cleared,No,No,0.0,Low,No,,,Resolved
SHP0009,2023-02-07,2023-02-18,2023-02-17,SUP001,PRD005,LOC002,North,Diagnostic Equipment,1048,2176724.24,OnTime,0,,,Medium,Clear,Congested,Cleared,No,No,0.0,Medium,No,,,Resolved
SHP0010,2023-02-05,2023-02-16,2023-02-15,SUP001,PRD004,LOC002,North,Diagnostic Equipment,650,2054722.85,OnTime,0,,,Low,Rain,Clear,Cleared,No,No,0.0,Medium,No,,,Resolved
SHP0011,2023-03-02,2023-03-10,2023-03-16,SUP002,PRD014,LOC002,North,PPE,84,1631.38,Delayed,6,Production slot miss at supplier site,Supplier_Dispatch,High,Fog,Clear,Cleared,Yes,No,0.0,Low,No,Supplier capacity / dispatch,Expedite dispatch and activate backup production slot,Resolved
SHP0012,2023-03-17,2023-03-28,,SUP001,PRD003,LOC003,South,Surgical Instruments,460,65601.54,In_Transit,0,,,Medium,Rain,Clear,Cleared,No,No,0.0,Medium,No,Open shipment,Monitor milestone events and update ETA,In_Progress
SHP0013,2023-03-13,2023-03-24,2023-03-31,SUP001,PRD004,LOC004,South,Diagnostic Equipment,694,2295994.55,Delayed,7,Production slot miss at supplier site,Supplier_Dispatch,Medium,Clear,Clear,Cleared,Yes,Yes,86989.13,Medium,No,Supplier capacity / dispatch,Expedite dispatch and activate backup production slot,In_Progress
SHP0014,2023-03-22,2023-04-05,2023-04-11,SUP003,PRD015,LOC004,South,PPE,355,5540.63,Delayed,6,,Customs_Hold,Low,Clear,Clear,Hold,Yes,Yes,283.56,High,No,Customs / compliance delay,Escalate broker review and submit corrected compliance documents,In_Progress
SHP0015,2023-03-18,2023-03-26,2023-03-25,SUP002,PRD005,LOC006,West,Diagnostic Equipment,99,331812.12,OnTime,0,,,Medium,Clear,Clear,Pending,No,No,0.0,Low,No,,,Resolved
SHP0016,2023-04-06,2023-04-18,2023-04-18,SUP001,PRD003,LOC003,South,Surgical Instruments,130,23294.57,OnTime,0,,,Medium,Clear,Clear,Cleared,No,No,0.0,Medium,No,,,Resolved
SHP0017,2023-04-08,2023-04-22,2023-04-28,SUP003,PRD008,LOC006,West,Consumables,475,8608.87,Delayed,6,Production slot miss at supplier site,Supplier_Dispatch,Medium,Rain,Congested,Cleared,Yes,No,0.0,High,No,Supplier capacity / dispatch,Expedite dispatch and activate backup production slot,Escalated
SHP0018,2023-04-13,2023-04-27,2023-04-26,SUP003,PRD009,LOC005,West,Consumables,469,7070.69,OnTime,0,,,Medium,Snow,Clear,Cleared,No,No,0.0,High,No,,,Resolved
SHP0019,2023-04-17,2023-05-01,2023-05-03,SUP003,PRD015,LOC004,South,PPE,916,23773.03,Delayed,2,Port congestion delayed unloading and drayage,Port_Congestion,Medium,Snow,Clear,Cleared,No,No,0.0,High,No,Port / terminal disruption,Reroute via alternate port and pre-book drayage capacity,Resolved
SHP0020,2023-04-24,2023-05-02,2023-05-11,SUP002,PRD008,LOC002,North,Consumables,253,10845.28,Delayed,9,Production slot miss at supplier site,Supplier_Dispatch,Low,Clear,Congested,Cleared,Yes,No,0.0,Low,No,Supplier capacity / dispatch,Expedite dispatch and activate backup production slot,In_Progress
SHP0021,2023-05-21,2023-05-29,2023-05-29,SUP002,PRD005,LOC005,West,Diagnostic Equipment,298,414479.58,OnTime,0,,,Medium,Storm,Clear,Cleared,No,No,0.0,Low,No,,,Resolved
SHP0022,2023-05-18,2023-06-01,2023-05-31,SUP003,PRD012,LOC006,West,Implants,405,392750.98,OnTime,0,,,High,Clear,Clear,Cleared,No,No,0.0,High,No,,,Resolved
SHP0023,2023-05-08,2023-05-22,2023-05-21,SUP003,PRD004,LOC003,South,Diagnostic Equipment,392,381579.82,OnTime,0,,,Low,Clear,Congested,Cleared,No,No,0.0,High,No,,,Resolved
SHP0024,2023-05-14,2023-05-26,2023-05-25,SUP001,PRD005,LOC004,South,Diagnostic Equipment,638,560398.15,OnTime,0,,,Low,Clear,Clear,Cleared,No,No,0.0,Medium,No,,,Resolved
